;Produced by Yue Chen, @LANL, on Jul  3, 2018 - Lshell selection performed by Rafael Pires de Lima, on August 12, 2020
;======> All Rights Reserved; Please do not redistribute without author"permission <=====       
;
;Data to be compared to model forecast results: Radial distributions of 1MeV electrons observed by RBSP-a between 20130220 and 20160831
;Columns: S/N, Time (days in hr, counted from 20130220 00:00:00), e- fluxes at L1/L2, .../Ln
;L values are shown in the top row

;format (I5, 3x, f10.4, 43e10.2)

  S/N         Time       4.00      4.10      4.20  
 3237     674.3542   1.95e+01  2.68e+01  4.12e+01  
 3238     674.5625   2.48e+01  4.19e+01  7.46e+01  
 3239     674.7708   2.75e+01  4.19e+01  7.45e+01  
 3240     674.9792   2.01e+01  3.54e+01  6.84e+01  
 3241     675.1875   3.58e+01  6.54e+01  1.03e+02  
 3242     675.3958   4.15e+01  7.45e+01  1.17e+02  
 3243     675.6042   4.81e+01  8.50e+01  1.33e+02  
 3244     675.8125   6.99e+01  1.11e+02  1.59e+02  
 3245     676.0208   6.22e+01  9.40e+01  1.47e+02  
 3246     676.2292   6.39e+01  1.11e+02  1.62e+02  
 3247     676.4375   6.49e+01  1.19e+02  1.83e+02  
 3248     676.6458   9.91e+01  1.61e+02  2.25e+02  
 3249     676.8542   8.34e+01  1.39e+02  1.91e+02  
 3250     677.0625   8.55e+01  1.24e+02  1.69e+02  
 3251     677.2708   7.12e+01  1.09e+02  1.52e+02  
 3252     677.4792   5.93e+01  9.67e+01  1.37e+02  
 3253     677.6875   7.52e+01  1.16e+02  1.38e+02  
 3254     677.8958   7.78e+01  9.19e+01  1.34e+02  
 3255     678.1042   8.31e+01  1.17e+02  1.63e+02  
 3256     678.3125   9.32e+01  1.35e+02  1.69e+02  
 3257     678.5208   8.08e+01  1.62e+02  2.02e+02  
 3258     678.7292   1.22e+02  1.63e+02  2.12e+02  
 3259     678.9375   1.31e+02  1.71e+02  2.45e+02  
 3260     679.1458   1.44e+02  1.94e+02  2.93e+02  
 3261     679.3542   1.58e+02  2.20e+02  3.51e+02  
 3262     679.5625   1.68e+02  2.02e+02  2.93e+02  
 3263     679.7708   1.72e+02  2.20e+02  2.80e+02  
 3264     679.9792   1.85e+02  2.56e+02  3.40e+02  
 3265     680.1875   1.66e+02  2.25e+02  3.01e+02  
 3266     680.3958   1.61e+02  2.23e+02  3.16e+02  
 3267     680.6042   1.53e+02  2.34e+02  3.06e+02  
 3268     680.8125   1.72e+02  2.51e+02  3.41e+02  
 3269     681.0208   1.77e+02  2.53e+02  3.97e+02  
 3270     681.2292   1.83e+02  2.55e+02  3.35e+02  
 3271     681.4375   2.05e+02  2.93e+02  3.94e+02  
 3272     681.6458   2.21e+02  2.75e+02  3.88e+02  
 3273     681.8542   8.54e+01  1.16e+02  1.51e+02  
 3274     682.0625   1.78e+02  1.84e+02  2.07e+02  
 3275     682.2708   1.55e+02  1.99e+02  2.03e+02  
 3276     682.4792   1.68e+02  2.14e+02  2.29e+02  
 3277     682.6875   1.39e+02  1.76e+02  2.02e+02  
 3278     682.8958   1.46e+02  1.91e+02  2.08e+02  
 3279     683.1042   1.53e+02  1.88e+02  2.10e+02  
 3280     683.3125   1.09e+02  1.50e+02  1.78e+02  
 3281     683.5208   1.06e+02  1.35e+02  1.47e+02  
 3282     683.7292   6.66e+01  9.40e+01  1.26e+02  
 3283     683.9375   1.43e+02  2.33e+02  3.07e+02  
 3284     684.1458   4.20e+02  6.34e+02  8.73e+02  
 3285     684.3542   5.20e+02  6.39e+02  8.20e+02  
 3286     684.5625   6.44e+02  8.90e+02  1.04e+03  
 3287     684.7708   5.56e+02  5.95e+02  6.63e+02  
 3288     684.9792   5.12e+02  6.95e+02  8.26e+02  
 3289     685.1875   7.71e+02  1.01e+03  1.10e+03  
 3290     685.3958   7.23e+02  8.94e+02  9.55e+02  
 3291     685.6042   9.97e+02  1.05e+03  1.07e+03  
 3292     685.8125   9.24e+02  1.08e+03  1.12e+03  
 3293     686.0208   1.01e+03  1.14e+03  1.19e+03  
 3294     686.2292   6.04e+02  7.61e+02  6.44e+02  
 3295     686.4375   3.63e+02  5.08e+02  3.50e+02  
 3296     686.6458   1.75e+02  1.37e+02  9.95e+01  
 3297     686.8542   4.96e+02  4.24e+02  3.34e+02  
 3298     687.0625   3.66e+02  3.14e+02  2.59e+02  
 3299     687.2708   4.97e+02  4.17e+02  3.70e+02  
 3300     687.4792   4.83e+02  4.28e+02  3.64e+02  
 3301     687.6875   4.34e+02  3.54e+02  2.84e+02  
 3302     687.8958   4.19e+02  3.60e+02  3.07e+02  
 3303     688.1042   4.86e+02  4.26e+02  3.64e+02  
 3304     688.3125   5.64e+02  5.04e+02  4.30e+02  
 3305     688.5208   4.88e+02  4.18e+02  3.34e+02  
 3306     688.7292   4.84e+02  4.08e+02  3.42e+02  
 3307     688.9375   4.44e+02  3.78e+02  3.20e+02  
 3308     689.1458   4.94e+02  4.28e+02  3.79e+02  
 3309     689.3542   5.05e+02  4.42e+02  3.91e+02  
 3310     689.5625   4.66e+02  4.05e+02  3.50e+02  
 3311     689.7708   4.22e+02  3.62e+02  3.20e+02  
 3312     689.9792   4.28e+02  3.72e+02  3.32e+02  
 3313     690.1875   4.34e+02  3.82e+02  3.44e+02  
 3314     690.3958   3.93e+02  3.47e+02  3.10e+02  
 3315     690.6042   3.45e+02  3.06e+02  2.86e+02  
 3316     690.8125   3.13e+02  2.85e+02  2.80e+02  
 3317     691.0208   3.64e+02  3.37e+02  3.17e+02  
 3318     691.2292   3.65e+02  3.44e+02  3.28e+02  
 3319     691.4375   3.52e+02  3.34e+02  3.22e+02  
 3320     691.6458   2.75e+02  2.59e+02  2.47e+02  
 3321     691.8542   2.73e+02  2.63e+02  2.55e+02  
 3322     692.0625   2.72e+02  2.68e+02  2.64e+02  
 3323     692.2708   2.71e+02  2.72e+02  2.60e+02  
 3324     692.4792   2.65e+02  2.61e+02  2.67e+02  
 3325     692.6875   2.21e+02  2.24e+02  2.29e+02  
 3326     692.8958   2.09e+02  2.22e+02  2.15e+02  
 3327     693.1042   2.32e+02  2.40e+02  2.47e+02  
 3328     693.3125   2.14e+02  2.22e+02  2.26e+02  
 3329     693.5208   1.98e+02  2.07e+02  2.10e+02  
 3330     693.7292   1.81e+02  1.89e+02  1.96e+02  
 3331     693.9375   1.65e+02  1.72e+02  1.82e+02  
 3332     694.1458   1.63e+02  1.76e+02  1.86e+02  
 3333     694.3542   1.57e+02  1.62e+02  1.75e+02  
 3334     694.5625   1.23e+02  1.29e+02  1.37e+02  
 3335     694.7708   1.22e+02  1.33e+02  1.40e+02  
 3336     694.9792   1.29e+02  1.41e+02  1.51e+02  
 3337     695.1875   1.29e+02  1.39e+02  1.52e+02  
 3338     695.3958   1.09e+02  1.17e+02  1.25e+02  
 3339     695.6042   9.92e+01  1.07e+02  1.17e+02  
 3340     695.8125   9.00e+01  9.82e+01  1.10e+02  
 3341     696.0208   9.31e+01  9.92e+01  1.09e+02  
 3342     696.2292   8.04e+01  8.51e+01  9.69e+01  
 3343     696.4375   7.79e+01  8.84e+01  9.63e+01  
 3344     696.6458   7.95e+01  9.18e+01  9.79e+01  
 3345     696.8542   7.93e+01  8.91e+01  9.82e+01  
 3346     697.0625   7.51e+01  8.55e+01  9.49e+01  
 3347     697.2708   7.39e+01  8.39e+01  9.41e+01  
 3348     697.4792   7.05e+01  7.59e+01  8.80e+01  
 3349     697.6875   6.72e+01  7.69e+01  8.56e+01  
 3350     697.8958   6.23e+01  7.10e+01  7.91e+01  
 3351     698.1042   5.85e+01  6.60e+01  7.22e+01  
 3352     698.3125   5.92e+01  6.74e+01  7.50e+01  
 3353     698.5208   6.15e+01  7.11e+01  7.70e+01  
 3354     698.7292   5.44e+01  6.52e+01  7.29e+01  
 3355     698.9375   5.92e+01  5.82e+01  6.80e+01  
 3356     699.1458   4.98e+01  5.48e+01  6.21e+01  
 3357     699.3542   4.46e+01  5.05e+01  5.48e+01  
 3358     699.5625   4.75e+01  5.29e+01  6.20e+01  
 3359     699.7708   4.71e+01  5.49e+01  5.89e+01  
 3360     699.9792   5.16e+01  5.74e+01  6.59e+01  
 3361     700.1875   5.33e+01  6.45e+01  7.12e+01  
 3362     700.3958   4.87e+01  5.56e+01  6.10e+01  
 3363     700.6042   4.07e+01  4.64e+01  5.21e+01  
 3364     700.8125   3.72e+01  4.30e+01  4.72e+01  
 3365     701.0208   3.40e+01  3.99e+01  4.28e+01  
 3366     701.2292   3.19e+01  3.55e+01  4.09e+01  
 3367     701.4375   3.39e+01  4.01e+01  4.08e+01  
 3368     701.6458   2.68e+01  3.14e+01  3.57e+01  
 3369     701.8542   2.55e+01  3.06e+01  3.44e+01  
 3370     702.0625   2.44e+01  2.91e+01  3.30e+01  
 3371     702.2708   2.32e+01  2.77e+01  3.15e+01  
 3372     702.4792   2.21e+01  2.63e+01  3.02e+01  
 3373     702.6875   2.11e+01  2.51e+01  2.88e+01  
 3374     702.8958   2.01e+01  2.39e+01  2.76e+01  
 3375     703.1042   1.92e+01  2.27e+01  2.64e+01  
 3376     703.3125   1.83e+01  2.16e+01  2.52e+01  
 3377     703.5208   1.75e+01  2.06e+01  2.42e+01  
 3378     703.7292   1.67e+01  1.96e+01  2.31e+01  
 3379     703.9375   1.59e+01  1.86e+01  2.21e+01  
 3380     704.1458   1.52e+01  1.77e+01  2.11e+01  
 3381     704.3542   1.58e+01  1.75e+01  2.19e+01  
 3382     704.5625   1.46e+01  1.71e+01  2.08e+01  
 3383     704.7708   1.35e+01  1.68e+01  1.98e+01  
 3384     704.9792   1.32e+01  1.64e+01  1.96e+01  
 3385     705.1875   1.28e+01  1.61e+01  1.94e+01  
 3386     705.3958   1.25e+01  1.57e+01  1.92e+01  
 3387     705.6042   1.22e+01  1.54e+01  1.90e+01  
 3388     705.8125   1.20e+01  1.51e+01  1.88e+01  
 3389     706.0208   1.17e+01  1.47e+01  1.86e+01  
 3390     706.2292   1.14e+01  1.44e+01  1.84e+01  
 3391     706.4375   1.11e+01  1.41e+01  1.82e+01  
 3392     706.6458   1.09e+01  1.38e+01  1.80e+01  
 3393     706.8542   1.06e+01  1.35e+01  1.78e+01  
 3394     707.0625   1.03e+01  1.32e+01  1.77e+01  
 3395     707.2708   1.01e+01  1.29e+01  1.75e+01  
 3396     707.4792   9.86e+00  1.26e+01  1.73e+01  
 3397     707.6875   9.63e+00  1.24e+01  1.71e+01  
 3398     707.8958   9.40e+00  1.21e+01  1.69e+01  
 3399     708.1042   9.18e+00  1.18e+01  1.67e+01  
 3400     708.3125   9.09e+00  1.23e+01  1.76e+01  
 3401     708.5208   9.01e+00  1.27e+01  1.85e+01  
 3402     708.7292   8.33e+00  1.35e+01  1.81e+01  
 3403     708.9375   8.82e+00  1.39e+01  2.31e+01  
 3404     709.1458   8.56e+00  1.41e+01  1.99e+01  
 3405     709.3542   9.54e+00  1.51e+01  2.61e+01  
 3406     709.5625   8.98e+00  1.68e+01  2.50e+01  
 3407     709.7708   1.04e+01  1.79e+01  2.54e+01  
 3408     709.9792   6.68e+00  1.05e+01  1.77e+01  
 3409     710.1875   7.30e+00  1.14e+01  2.01e+01  
 3410     710.3958   7.98e+00  1.24e+01  2.27e+01  
 3411     710.6042   8.73e+00  1.35e+01  2.57e+01  
 3412     710.8125   9.54e+00  1.47e+01  2.90e+01  
 3413     711.0208   1.04e+01  1.60e+01  3.29e+01  
 3414     711.2292   1.12e+01  1.84e+01  2.97e+01  
 3415     711.4375   1.24e+01  2.17e+01  3.19e+01  
 3416     711.6458   1.66e+01  2.67e+01  4.24e+01  
 3417     711.8542   1.79e+01  3.05e+01  4.40e+01  
 3418     712.0625   2.16e+01  3.73e+01  5.52e+01  
 3419     712.2708   2.61e+01  4.56e+01  6.92e+01  
 3420     712.4792   3.15e+01  5.58e+01  8.68e+01  
 3421     712.6875   3.80e+01  6.82e+01  1.09e+02  
 3422     712.8958   4.58e+01  8.35e+01  1.37e+02  
 3423     713.1042   5.53e+01  1.02e+02  1.72e+02  
 3424     713.3125   6.87e+01  1.40e+02  1.93e+02  
 3425     713.5208   1.13e+02  1.98e+02  2.83e+02  
 3426     713.7292   1.09e+02  1.78e+02  2.89e+02  
 3427     713.9375   1.17e+02  2.32e+02  2.92e+02  
 3428     714.1458   1.25e+02  2.00e+02  2.72e+02  
 3429     714.3542   9.29e+01  1.58e+02  2.40e+02  
 3430     714.5625   1.36e+02  2.15e+02  3.11e+02  
 3431     714.7708   1.26e+02  2.09e+02  3.17e+02  
 3432     714.9792   1.11e+02  1.77e+02  2.71e+02  
 3433     715.1875   1.32e+02  1.92e+02  2.91e+02  
 3434     715.3958   1.99e+02  2.73e+02  3.64e+02  
 3435     715.6042   1.62e+02  2.51e+02  3.48e+02  
 3436     715.8125   1.17e+02  1.81e+02  2.73e+02  
 3437     716.0208   1.16e+02  1.98e+02  2.84e+02  
 3438     716.2292   1.13e+02  1.85e+02  2.78e+02  
 3439     716.4375   1.70e+02  2.80e+02  3.97e+02  
 3440     716.6458   1.38e+02  2.21e+02  3.33e+02  
 3441     716.8542   1.43e+02  2.28e+02  3.27e+02  
 3442     717.0625   1.74e+02  2.66e+02  3.57e+02  
 3443     717.2708   1.25e+02  1.92e+02  4.10e+02  
 3444     717.4792   8.92e+01  1.39e+02  2.04e+02  
 3445     717.6875   1.23e+02  1.95e+02  2.63e+02  
 3446     717.8958   1.21e+02  1.96e+02  2.80e+02  
 3447     718.1042   1.21e+02  1.99e+02  2.81e+02  
 3448     718.3125   8.55e+01  1.39e+02  1.94e+02  
 3449     718.5208   9.63e+01  1.62e+02  2.34e+02  
 3450     718.7292   1.08e+02  1.72e+02  2.15e+02  
 3451     718.9375   9.30e+01  1.65e+02  2.16e+02  
 3452     719.1458   9.82e+01  1.62e+02  2.19e+02  
 3453     719.3542   1.04e+02  1.60e+02  2.22e+02  
 3454     719.5625   9.34e+01  1.43e+02  2.03e+02  
 3455     719.7708   8.92e+01  1.35e+02  1.87e+02  
 3456     719.9792   8.25e+01  1.27e+02  1.75e+02  
 3457     720.1875   7.64e+01  1.18e+02  1.64e+02  
 3458     720.3958   7.07e+01  1.11e+02  1.53e+02  
 3459     720.6042   6.54e+01  1.04e+02  1.43e+02  
 3460     720.8125   6.06e+01  9.68e+01  1.34e+02  
 3461     721.0208   5.61e+01  9.06e+01  1.25e+02  
 3462     721.2292   5.19e+01  8.47e+01  1.17e+02  
 3463     721.4375   4.34e+01  7.27e+01  1.09e+02  
 3464     721.6458   4.79e+01  7.43e+01  1.05e+02  
 3465     721.8542   4.98e+01  7.93e+01  1.11e+02  
 3466     722.0625   4.03e+01  6.31e+01  9.29e+01  
 3467     722.2708   4.10e+01  6.34e+01  9.28e+01  
 3468     722.4792   5.44e+01  7.86e+01  1.07e+02  
 3469     722.6875   3.44e+01  5.61e+01  7.69e+01  
 3470     722.8958   3.43e+01  5.57e+01  7.62e+01  
 3471     723.1042   3.43e+01  5.53e+01  7.56e+01  
 3472     723.3125   3.42e+01  5.49e+01  7.49e+01  
 3473     723.5208   3.41e+01  5.45e+01  7.42e+01  
 3474     723.7292   3.41e+01  5.41e+01  7.36e+01  
 3475     723.9375   3.40e+01  5.37e+01  7.29e+01  
 3476     724.1458   3.39e+01  5.33e+01  7.23e+01  
 3477     724.3542   3.57e+01  5.56e+01  7.60e+01  
 3478     724.5625   3.36e+01  5.34e+01  7.70e+01  
 3479     724.7708   3.59e+01  5.68e+01  8.10e+01  
 3480     724.9792   3.83e+01  6.04e+01  8.53e+01  
 3481     725.1875   3.35e+01  5.58e+01  7.78e+01  
 3482     725.3958   3.20e+01  4.84e+01  6.74e+01  
 3483     725.6042   2.23e+01  3.48e+01  4.90e+01  
 3484     725.8125   2.29e+01  3.24e+01  4.48e+01  
 3485     726.0208   2.76e+01  4.13e+01  5.78e+01  
 3486     726.2292   2.59e+01  3.78e+01  5.45e+01  
 3487     726.4375   2.54e+01  3.73e+01  5.02e+01  
 3488     726.6458   2.66e+01  3.86e+01  5.37e+01  
 3489     726.8542   2.79e+01  3.99e+01  5.74e+01  
 3490     727.0625   1.74e+01  2.48e+01  3.43e+01  
 3491     727.2708   1.80e+01  2.50e+01  3.54e+01  
 3492     727.4792   1.48e+01  2.45e+01  3.07e+01  
 3493     727.6875   1.99e+01  2.71e+01  3.66e+01  
 3494     727.8958   1.30e+01  2.06e+01  2.66e+01  
 3495     728.1042   5.46e+00  6.72e+00  9.05e+00  
 3496     728.3125   6.98e+00  1.08e+01  1.89e+01  
 3497     728.5208   9.37e+00  1.58e+01  4.73e+01  
 3498     728.7292   1.26e+01  2.31e+01  3.74e+01  
 3499     728.9375   1.88e+01  3.16e+01  5.83e+01  
 3500     729.1458   1.31e+01  2.40e+01  4.17e+01  
 3501     729.3542   1.53e+01  3.12e+01  5.27e+01  
 3502     729.5625   2.67e+01  4.95e+01  8.32e+01  
 3503     729.7708   1.99e+01  5.04e+01  9.10e+01  
 3504     729.9792   2.09e+01  3.71e+01  7.21e+01  
 3505     730.1875   2.10e+01  4.34e+01  7.30e+01  
 3506     730.3958   1.70e+01  3.63e+01  6.78e+01  
 3507     730.6042   2.56e+01  5.12e+01  8.83e+01  
 3508     730.8125   2.54e+01  4.86e+01  8.20e+01  
 3509     731.0208   1.28e+01  2.47e+01  4.58e+01  
 3510     731.2292   1.56e+01  3.26e+01  5.93e+01  
 3511     731.4375   2.10e+01  4.38e+01  8.61e+01  
 3512     731.6458   3.02e+01  6.16e+01  1.06e+02  
 3513     731.8542   2.65e+01  5.26e+01  9.15e+01  
 3514     732.0625   2.34e+01  4.49e+01  7.92e+01  
 3515     732.2708   2.05e+01  4.17e+01  7.65e+01  
 3516     732.4792   3.58e+01  6.76e+01  1.02e+02  
 3517     732.6875   3.21e+01  6.89e+01  1.21e+02  
 3518     732.8958   3.21e+01  6.28e+01  1.11e+02  
 3519     733.1042   3.17e+01  5.97e+01  1.03e+02  
 3520     733.3125   2.92e+01  5.78e+01  8.79e+01  
 3521     733.5208   2.30e+01  5.06e+01  9.16e+01  
 3522     733.7292   3.03e+01  5.87e+01  9.36e+01  
 3523     733.9375   3.99e+01  6.80e+01  9.55e+01  
 3524     734.1458   1.28e+01  2.35e+01  3.40e+01  
 3525     734.3542   4.00e+01  5.34e+01  6.37e+01  
 3526     734.5625   4.33e+01  6.45e+01  8.88e+01  
 3527     734.7708   4.24e+01  6.57e+01  8.44e+01  
 3528     734.9792   4.51e+01  6.97e+01  9.64e+01  
 3529     735.1875   4.25e+01  7.07e+01  1.05e+02  
 3530     735.3958   3.93e+01  6.31e+01  8.65e+01  
 3531     735.6042   4.65e+01  7.33e+01  1.03e+02  
 3532     735.8125   5.50e+01  8.53e+01  1.23e+02  
 3533     736.0208   5.78e+01  8.98e+01  1.29e+02  
 3534     736.2292   6.08e+01  9.45e+01  1.35e+02  
 3535     736.4375   6.40e+01  9.95e+01  1.41e+02  
 3536     736.6458   6.73e+01  1.05e+02  1.48e+02  
 3537     736.8542   7.07e+01  1.10e+02  1.55e+02  
 3538     737.0625   7.44e+01  1.16e+02  1.62e+02  
 3539     737.2708   7.82e+01  1.22e+02  1.69e+02  
 3540     737.4792   7.99e+01  1.24e+02  1.71e+02  
 3541     737.6875   8.17e+01  1.26e+02  1.72e+02  
 3542     737.8958   7.45e+01  1.17e+02  1.65e+02  
 3543     738.1042   6.42e+01  9.90e+01  1.38e+02  
 3544     738.3125   5.54e+01  8.41e+01  1.16e+02  
 3545     738.5208   4.77e+01  7.14e+01  9.77e+01  
 3546     738.7292   4.11e+01  6.06e+01  8.20e+01  
 3547     738.9375   3.55e+01  5.15e+01  6.89e+01  
 3548     739.1458   3.06e+01  4.37e+01  5.79e+01  
 3549     739.3542   4.40e+01  6.49e+01  8.75e+01  
 3550     739.5625   6.33e+01  9.65e+01  1.32e+02  
 3551     739.7708   9.31e+01  1.38e+02  1.89e+02  
 3552     739.9792   9.00e+01  1.36e+02  1.76e+02  
 3553     740.1875   5.81e+01  8.87e+01  1.32e+02  
 3554     740.3958   7.04e+01  9.15e+01  1.02e+02  
 3555     740.6042   2.37e+02  3.53e+02  4.28e+02  
 3556     740.8125   3.17e+02  4.04e+02  4.66e+02  
 3557     741.0208   3.73e+02  5.04e+02  6.19e+02  
 3558     741.2292   4.04e+02  5.23e+02  6.24e+02  
 3559     741.4375   4.37e+02  5.43e+02  6.30e+02  
 3560     741.6458   4.79e+02  5.93e+02  6.71e+02  
 3561     741.8542   5.17e+02  6.41e+02  7.21e+02  
 3562     742.0625   4.76e+02  5.99e+02  6.77e+02  
 3563     742.2708   5.00e+02  5.69e+02  6.80e+02  
 3564     742.4792   5.82e+02  6.86e+02  7.97e+02  
 3565     742.6875   4.93e+02  5.93e+02  6.38e+02  
 3566     742.8958   5.03e+02  6.10e+02  6.84e+02  
 3567     743.1042   5.17e+02  6.29e+02  7.39e+02  
 3568     743.3125   5.31e+02  6.49e+02  6.90e+02  
 3569     743.5208   4.70e+02  5.64e+02  6.31e+02  
 3570     743.7292   4.50e+02  5.56e+02  5.94e+02  
 3571     743.9375   5.04e+02  6.05e+02  7.07e+02  
 3572     744.1458   5.41e+02  6.44e+02  7.34e+02  
 3573     744.3542   3.54e+02  3.95e+02  4.46e+02  
 3574     744.5625   3.96e+02  5.29e+02  5.62e+02  
 3575     744.7708   4.42e+02  5.39e+02  6.09e+02  
 3576     744.9792   4.29e+02  4.87e+02  5.72e+02  
 3577     745.1875   3.42e+02  3.91e+02  4.67e+02  
 3578     745.3958   3.58e+02  4.51e+02  4.69e+02  
 3579     745.6042   3.91e+02  4.39e+02  4.71e+02  
 3580     745.8125   3.32e+02  4.13e+02  4.79e+02  
 3581     746.0208   3.14e+02  3.93e+02  4.66e+02  
 3582     746.2292   3.75e+02  4.37e+02  4.88e+02  
 3583     746.4375   3.34e+02  4.62e+02  4.98e+02  
 3584     746.6458   2.97e+02  3.58e+02  4.06e+02  
 3585     746.8542   2.95e+02  3.53e+02  4.09e+02  
 3586     747.0625   2.66e+02  3.24e+02  3.62e+02  
 3587     747.2708   2.48e+02  3.16e+02  3.74e+02  
 3588     747.4792   2.57e+02  3.12e+02  3.48e+02  
 3589     747.6875   2.52e+02  3.08e+02  3.54e+02  
 3590     747.8958   2.87e+02  3.39e+02  3.87e+02  
 3591     748.1042   2.57e+02  3.14e+02  3.64e+02  
 3592     748.3125   2.37e+02  2.91e+02  3.63e+02  
 3593     748.5208   2.17e+02  2.70e+02  3.14e+02  
 3594     748.7292   2.10e+02  2.57e+02  3.04e+02  
 3595     748.9375   2.11e+02  2.61e+02  3.08e+02  
 3596     749.1458   1.97e+02  2.47e+02  2.79e+02  
 3597     749.3542   2.11e+02  2.58e+02  3.05e+02  
 3598     749.5625   1.66e+02  2.10e+02  2.52e+02  
 3599     749.7708   1.58e+02  2.00e+02  2.40e+02  
 3600     749.9792   1.50e+02  1.92e+02  2.36e+02  
 3601     750.1875   1.31e+02  1.69e+02  2.08e+02  
 3602     750.3958   1.15e+02  1.49e+02  1.84e+02  
 3603     750.6042   1.14e+02  1.51e+02  1.90e+02  
 3604     750.8125   1.25e+02  1.63e+02  2.05e+02  
 3605     751.0208   1.14e+02  1.53e+02  2.09e+02  
 3606     751.2292   1.18e+02  1.60e+02  2.15e+02  
 3607     751.4375   1.21e+02  1.64e+02  2.08e+02  
 3608     751.6458   1.20e+02  1.62e+02  2.05e+02  
 3609     751.8542   1.19e+02  1.59e+02  2.02e+02  
 3610     752.0625   1.18e+02  1.57e+02  1.98e+02  
 3611     752.2708   1.16e+02  1.55e+02  1.95e+02  
 3612     752.4792   1.15e+02  1.52e+02  1.92e+02  
 3613     752.6875   1.14e+02  1.50e+02  1.89e+02  
 3614     752.8958   1.12e+02  1.48e+02  1.86e+02  
 3615     753.1042   1.11e+02  1.45e+02  1.83e+02  
 3616     753.3125   1.10e+02  1.43e+02  1.80e+02  
 3617     753.5208   1.09e+02  1.41e+02  1.78e+02  
 3618     753.7292   1.08e+02  1.39e+02  1.75e+02  
 3619     753.9375   1.06e+02  1.37e+02  1.72e+02  
 3620     754.1458   1.05e+02  1.35e+02  1.69e+02  
 3621     754.3542   8.99e+01  1.17e+02  1.49e+02  
 3622     754.5625   7.32e+01  1.02e+02  1.26e+02  
 3623     754.7708   9.51e+01  1.23e+02  1.51e+02  
 3624     754.9792   9.96e+01  1.28e+02  1.45e+02  
 3625     755.1875   9.82e+01  1.31e+02  1.42e+02  
 3626     755.3958   6.98e+01  7.63e+01  7.91e+01  
 3627     755.6042   6.75e+00  5.79e+00  5.70e+00  
 3628     755.8125   5.55e+01  4.87e+01  4.47e+01  
 3629     756.0208   4.55e+02  4.10e+02  3.50e+02  
 3630     756.2292   1.26e+03  1.14e+03  1.09e+03  
 3631     756.4375   4.82e+02  4.18e+02  3.69e+02  
 3632     756.6458   1.71e+03  1.64e+03  1.45e+03  
 3633     756.8542   1.69e+03  1.66e+03  1.56e+03  
 3634     757.0625   1.80e+03  1.78e+03  1.68e+03  
 3635     757.2708   1.92e+03  1.90e+03  1.81e+03  
 3636     757.4792   2.05e+03  2.04e+03  1.96e+03  
 3637     757.6875   2.18e+03  2.18e+03  2.11e+03  
 3638     757.8958   2.33e+03  2.33e+03  2.28e+03  
 3639     758.1042   2.48e+03  2.50e+03  2.45e+03  
 3640     758.3125   2.64e+03  2.67e+03  2.65e+03  
 3641     758.5208   2.82e+03  2.86e+03  2.85e+03  
 3642     758.7292   3.00e+03  3.06e+03  3.08e+03  
 3643     758.9375   3.20e+03  3.27e+03  3.32e+03  
 3644     759.1458   3.41e+03  3.50e+03  3.58e+03  
 3645     759.3542   3.51e+03  3.54e+03  3.44e+03  
 3646     759.5625   3.48e+03  3.47e+03  3.32e+03  
 3647     759.7708   3.44e+03  3.40e+03  3.44e+03  
 3648     759.9792   3.90e+03  3.95e+03  3.99e+03  
 3649     760.1875   3.55e+03  3.61e+03  3.67e+03  
 3650     760.3958   3.26e+03  3.24e+03  3.25e+03  
 3651     760.6042   2.25e+03  2.15e+03  2.01e+03  
 3652     760.8125   2.83e+03  2.76e+03  2.65e+03  
 3653     761.0208   3.21e+03  3.14e+03  2.97e+03  
 3654     761.2292   3.11e+03  3.05e+03  2.88e+03  
 3655     761.4375   3.02e+03  2.96e+03  2.80e+03  
 3656     761.6458   2.94e+03  2.87e+03  2.71e+03  
 3657     761.8542   2.85e+03  2.79e+03  2.63e+03  
 3658     762.0625   2.77e+03  2.71e+03  2.55e+03  
 3659     762.2708   2.69e+03  2.63e+03  2.48e+03  
 3660     762.4792   2.61e+03  2.55e+03  2.40e+03  
 3661     762.6875   2.54e+03  2.47e+03  2.33e+03  
 3662     762.8958   2.47e+03  2.40e+03  2.26e+03  
 3663     763.1042   2.39e+03  2.33e+03  2.20e+03  
 3664     763.3125   2.33e+03  2.26e+03  2.13e+03  
 3665     763.5208   2.26e+03  2.19e+03  2.07e+03  
 3666     763.7292   2.19e+03  2.13e+03  2.01e+03  
 3667     763.9375   2.13e+03  2.07e+03  1.95e+03  
 3668     764.1458   2.07e+03  2.01e+03  1.89e+03  
 3669     764.3542   2.01e+03  1.95e+03  1.83e+03  
 3670     764.5625   1.95e+03  1.89e+03  1.78e+03  
 3671     764.7708   1.90e+03  1.83e+03  1.73e+03  
 3672     764.9792   1.84e+03  1.78e+03  1.68e+03  
 3673     765.1875   1.79e+03  1.73e+03  1.63e+03  
 3674     765.3958   1.74e+03  1.68e+03  1.58e+03  
 3675     765.6042   1.69e+03  1.63e+03  1.53e+03  
 3676     765.8125   1.64e+03  1.58e+03  1.49e+03  
 3677     766.0208   1.59e+03  1.53e+03  1.44e+03  
 3678     766.2292   1.55e+03  1.49e+03  1.40e+03  
 3679     766.4375   1.50e+03  1.44e+03  1.36e+03  
